time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
3582,92,756,147,144,482,360,438,8,11
13184,90,755,146,142,481,360,437,8,12
21181,91,756,146,143,481,360,439,7,11
29181,93,756,147,143,481,361,440,8,12
37180,92,757,147,145,480,361,439,9,12
45189,91,756,146,143,480,360,439,8,12
53191,91,757,146,144,481,360,438,8,12
61189,91,757,146,143,480,360,439,8,12
69188,91,757,146,144,480,360,438,8,12
77188,91,757,146,143,480,360,438,8,12
85188,91,757,146,144,480,360,438,8,12
93192,91,757,146,143,481,360,438,8,12
101189,91,757,146,144,480,360,438,8,12
109188,91,757,146,143,481,359,436,8,11
117189,91,757,147,145,480,361,439,8,12
125189,91,757,146,143,480,360,438,8,11
133192,91,757,146,144,480,360,438,8,12
141189,91,757,146,144,480,360,438,8,12
149189,91,757,147,144,480,360,439,8,12
157189,91,757,146,144,480,360,438,8,11
165189,91,757,146,144,480,360,438,8,11
173186,91,757,146,143,480,360,438,8,11
181184,91,757,146,144,480,360,438,8,11
189183,91,757,146,144,480,360,439,8,11
197183,91,757,146,143,480,360,438,8,11
205184,91,757,146,144,480,360,438,8,11
213185,91,757,146,143,480,360,438,8,12
221184,91,757,146,144,480,360,438,8,11
229183,91,757,146,143,480,360,438,8,12
237183,91,757,146,144,480,360,438,8,11
245184,91,757,146,143,480,360,438,8,12
253185,91,757,146,144,480,360,438,8,11
261183,91,757,146,143,480,360,438,8,11
269183,91,757,146,144,480,360,438,8,11
277183,91,757,146,143,480,360,438,8,12
285184,92,757,146,144,480,360,438,8,11
293186,91,756,146,143,480,360,438,8,12
301184,91,757,146,144,480,360,438,8,12
309184,91,757,146,143,480,360,438,8,11
317184,91,757,146,144,480,361,438,8,11
325184,91,757,146,143,480,360,438,8,11
333186,91,757,146,145,480,360,438,8,11
341184,91,757,146,143,480,360,438,8,11
349183,91,757,147,144,480,361,438,8,11
357184,91,757,147,144,480,360,438,8,11
365183,91,757,146,144,480,360,438,7,11
373186,91,757,146,144,480,360,438,8,11
381211,91,757,146,144,480,360,438,8,11
389184,91,757,146,144,480,360,438,8,11
397183,91,757,146,143,480,360,438,8,12
405183,91,757,146,144,480,360,438,8,11
413186,92,757,146,144,480,360,438,8,11
421183,91,757,146,144,480,360,438,8,11
429183,91,757,146,143,480,360,438,8,12
437183,91,757,146,144,480,361,438,8,11
445184,91,757,146,143,480,360,438,8,11
453186,91,757,146,144,480,360,438,8,12
461184,92,757,146,143,480,360,438,8,12
469183,91,757,146,144,480,360,438,8,12
477184,91,757,146,143,480,361,439,8,12
485184,91,757,146,144,480,360,438,8,11
493185,91,757,146,143,480,361,439,8,12
501183,91,757,146,144,480,361,438,8,11
509184,92,757,146,143,480,361,439,8,11
517183,91,757,146,144,480,360,438,8,11
525184,91,757,146,143,480,360,438,8,11
533186,91,757,146,144,480,360,438,8,11
541183,91,757,146,143,480,360,438,8,11
549184,91,757,146,144,480,360,438,8,11
557184,91,757,146,144,480,360,438,8,11
565183,92,757,146,144,480,360,438,8,11
573186,91,757,146,144,480,360,438,8,11
581183,91,757,146,144,480,360,437,8,11
589183,91,757,146,144,480,360,438,8,11
597184,91,757,146,144,480,360,438,8,11
605184,91,757,146,144,480,360,438,8,11
613186,91,757,146,143,480,360,438,8,11
621184,92,757,147,144,480,360,438,8,12
629184,92,757,146,143,480,360,438,8,11
637184,92,757,147,144,480,360,438,8,11
645184,92,757,146,143,480,360,438,7,11
