time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
2265,91,756,147,143,481,360,439,8,12
3582,92,756,147,144,482,360,438,8,11
9981,90,755,145,141,480,360,436,8,12
11581,90,755,145,142,481,359,437,8,12
13184,90,755,146,142,481,360,437,8,12
14782,91,756,147,143,481,360,439,8,12
16380,92,756,147,144,482,360,438,8,11
17980,92,756,145,143,481,359,438,8,11
19580,91,756,145,143,481,359,438,8,11
21181,91,756,146,143,481,360,439,7,11
22781,91,756,147,142,480,360,440,7,11
24381,91,756,148,143,479,363,442,8,11
25980,92,756,147,143,479,362,441,8,12
27580,93,757,148,142,481,361,440,8,11
29181,93,756,147,143,481,361,440,8,12
30781,93,757,147,143,481,361,439,8,12
32379,92,757,148,144,481,361,440,8,11
33980,92,756,148,145,480,362,440,9,12
35580,92,757,148,146,480,361,440,9,12
37180,92,757,147,145,480,361,439,9,12
38781,92,757,147,145,480,361,439,8,12
40379,92,757,146,144,480,360,439,8,12
41979,91,756,146,144,480,361,439,8,12
43584,91,756,146,143,480,360,439,8,12
45189,91,756,146,143,480,360,439,8,12
46785,91,756,146,143,480,360,439,8,11
48383,91,757,146,144,480,360,438,8,12
49984,91,757,146,144,480,361,439,8,12
51584,91,757,146,144,481,360,438,8,11
53191,91,757,146,144,481,360,438,8,12
54785,91,757,146,144,481,360,438,8,11
56383,91,757,146,143,481,360,438,8,11
57983,91,757,146,143,480,360,438,8,12
59584,91,757,146,143,480,360,439,8,12
61189,91,757,146,143,480,360,439,8,12
62785,91,757,146,143,480,360,439,8,12
64386,91,757,146,144,480,360,439,8,12
65984,91,757,146,144,480,360,439,8,12
67583,91,757,147,145,480,360,439,8,12
69188,91,757,146,144,480,360,438,8,12
70784,91,757,146,144,480,360,438,8,12
72384,91,757,146,144,480,360,438,8,12
73986,91,757,146,143,480,360,438,8,12
75584,91,757,146,143,480,360,438,8,12
77188,91,757,146,143,480,360,438,8,12
78820,91,757,146,143,480,360,438,8,11
80385,91,757,146,144,480,360,438,8,11
81984,91,757,146,144,480,360,438,8,11
83586,91,757,146,144,480,360,438,8,11
85188,91,757,146,144,480,360,438,8,12
86792,91,757,146,144,480,361,438,8,12
88395,91,757,146,144,480,360,438,8,12
89983,91,757,146,144,480,360,438,8,12
91584,91,757,146,143,481,360,438,8,12
93192,91,757,146,143,481,360,438,8,12
94785,91,757,146,143,481,360,438,8,11
96384,91,757,147,143,481,360,438,8,11
97983,91,757,146,144,480,361,438,8,11
99583,91,757,146,144,480,360,438,8,11
101189,91,757,146,144,480,360,438,8,12
102785,91,757,146,144,480,360,438,8,11
104386,91,757,146,144,480,359,437,8,11
105983,90,757,145,143,480,359,436,9,11
107584,90,757,145,143,481,359,436,8,11
109188,91,757,146,143,481,359,436,8,11
110785,91,756,146,143,480,360,437,8,12
112383,91,757,148,144,480,361,439,8,12
113986,91,757,147,144,480,361,439,8,12
115584,91,757,147,145,480,361,439,8,12
117189,91,757,147,145,480,361,439,8,12
118785,91,757,147,145,480,361,438,8,12
120384,91,757,147,145,480,361,438,8,12
121984,91,757,146,144,480,361,438,8,12
123586,91,757,146,144,480,360,438,8,12
125189,91,757,146,143,480,360,438,8,11
126784,91,757,146,143,480,360,438,8,11
128384,91,757,146,143,480,360,438,8,11
129984,91,757,146,144,480,360,438,8,11
131583,91,757,146,144,480,360,438,8,11
133192,91,757,146,144,480,360,438,8,12
134785,91,757,146,144,480,360,438,7,11
136383,91,757,146,144,480,360,438,7,11
137984,91,757,146,144,480,360,438,7,11
139584,91,757,146,144,480,360,438,7,11
141189,91,757,146,144,480,360,438,8,12
142784,91,757,146,143,480,360,438,8,11
144386,91,757,146,143,480,360,438,8,11
145984,91,757,146,143,480,360,438,8,11
147584,91,757,146,143,480,360,438,8,11
149189,91,757,147,144,480,360,439,8,12
150784,91,757,147,144,480,360,439,8,11
152384,91,757,146,144,480,360,438,8,11
153986,91,757,146,144,480,360,438,8,11
